id,Name,openingTime
20,Penang Garden,Mon-Thu 11 am - 10 pm  / Fri-Sat 10 am - 10:30 pm  / Sun 11 am - 11 pm
21,John's Grill,Mon-Sat 11 am - 10 pm  / Sun 12 pm - 10 pm
22,Quan Bac,Mon-Sun 11 am - 10 pm
23,Bamboo Restaurant,Mon-Sat 11 am - 12 am  / Sun 12 pm - 12 am
24,Burger Bar,"Mon-Thu, Sun 11 am - 10 pm  / Fri-Sat 11 am - 12 am"
25,Blu Restaurant,Mon-Fri 11:30 am - 10 pm  / Sat-Sun 7 am - 3 pm
26,Naan 'N' Curry,Mon-Sun 11 am - 4 am
27,Shanghai China Restaurant,Mon-Sun 11 am - 9:30 pm
28,Tres,"Mon-Thu, Sun 11:30 am - 10 pm  / Fri-Sat 11:30 am - 11 pm"
29,Isobune Sushi,Mon-Sun 11:30 am - 9:30 pm
30,Viva Pizza Restaurant,Mon-Sun 11 am - 12 am
31,Far East Cafe,Mon-Sun 11:30 am - 10 pm
32,Parallel 37,Mon-Sun 11:30 am - 10 pm
33,Bai Thong Thai Cuisine,Mon-Sat 11 am - 11 pm  / Sun 11 am - 10 pm
34,Alhamra,Mon-Sun 11 am - 11 pm
35,A-1 Cafe Restaurant,"Mon, Wed-Sun 11 am - 10 pm"
36,Nick's Lighthouse,Mon-Sun 11 am - 10:30 pm
37,Paragon Restaurant & Bar,Mon-Fri 11:30 am - 10 pm  / Sat 5:30 pm - 10 pm
38,Chili Lemon Garlic,Mon-Fri 11 am - 10 pm  / Sat-Sun 5 pm - 10 pm
39,Bow Hon Restaurant,Mon-Sun 11 am - 10:30 pm
40,San Dong House,Mon-Sun 11 am - 11 pm
41,Thai Stick Restaurant,Mon-Sun 11 am - 1 am
42,Cesario's,"Mon-Thu, Sun 11:30 am - 10 pm  / Fri-Sat 11:30 am - 10:30 pm"
43,Colombini Italian Cafe Bistro,Mon-Fri 12 pm - 10 pm  / Sat-Sun 5 pm - 10 pm
44,Sabella & La Torre,"Mon-Thu, Sun 10 am - 10:30 pm  / Fri-Sat 10 am - 12:30 am"
45,Soluna Cafe and Lounge,Mon-Fri 11:30 am - 10 pm  / Sat 5 pm - 10 pm
46,Tong Palace,Mon-Fri 9 am - 9:30 pm  / Sat-Sun 9 am - 10 pm
47,India Garden Restaurant,Mon-Sun 10 am - 11 pm
48,Sapporo-Ya Japanese Restaurant,Mon-Sat 11 am - 11 pm  / Sun 11 am - 10:30 pm
49,Santorini's Mediterranean Cuisine,Mon-Sun 8 am - 10:30 pm
50,Kyoto Sushi,Mon-Thu 11 am - 10:30 pm  / Fri 11 am - 11 pm  / Sat 11:30 am - 11 pm  / Sun 4:30 pm - 10:30 pm
51,Marrakech Moroccan Restaurant,Mon-Sun 5:30 pm - 2 am
52,Parallel 37,"Mon, Fri 5 pm - 6:15 pm / Tues 12:15 pm - 12:15 pm / Weds 1:15 pm - 5:45 pm / Thurs, Sat 10 am - 3 pm / Sun 6:30 am - 12:45 pm"
53,Starbelly,"Mon - Weds 6:30 am - 2 pm / Thurs, Sun 10:45 am - 10 pm / Fri 7:45 am - 6:30 pm / Sat 8 am - 1 pm"
54,Brass Tacks,Mon 8 am - 10:30 pm / Tues 1:30 pm - 3:15 am / Weds 7:45 am - 12:15 pm / Thurs 1:45 pm - 2:15 am / Fri 7:45 am - 1:45 pm / Sat 12:15 pm - 3:45 pm / Sun 5 am - 2:15 am
55,Lord Stanley,"Sun - Mon, Fri 5:45 pm - 11 pm / Tues 10:15 am - 10:45 pm / Weds 11 am - 10:15 pm / Thurs 11:15 am - 1:30 am / Sat 5:45 pm - 3:45 am"
56,Top of the Mark,"Mon, Thurs 5 pm - 6 pm / Tues 8:45 am - 4:30 pm / Weds 11:15 am - 3:15 am / Fri 12:30 pm - 10 pm / Sat 1:15 pm - 11:45 pm / Sun 5:15 pm - 9:45 pm"
57,Pier 23,"Mon, Thurs 7 am - 4 pm / Tues 8:15 am - 12 pm / Weds 10 am - 11:45 pm / Fri 10:45 am - 9:15 pm / Sat 10:30 am - 11:30 am / Sun 9:15 am - 10:30 am"
58,Plumed Horse,"Mon 11:45 am - 9:15 pm / Tues 7:45 am - 12:30 pm / Weds - Thurs, Sun 7:45 am - 3:45 pm / Fri 7 am - 3:45 am / Sat 6 am - 3:30 pm"
59,Everest,"Mon, Weds 5:30 am - 3:30 am / Tues 1:30 pm - 4 pm / Thurs 3 pm - 12:15 pm / Fri 1 pm - 2 pm / Sat 7:45 am - 12 pm / Sun 11:15 am - 7:45 pm"
60,The Aviary,Mon 10:45 am - 5 pm / Tues 7 am - 10:45 pm / Weds 12:45 pm - 1:45 am / Thurs 4:45 pm - 12:45 pm / Fri 11:30 am - 9:45 pm / Sat 8:15 am - 10:15 pm / Sun 7:45 am - 2 am
61,Rebar,"Mon, Sat 3:45 pm - 6:30 pm / Tues - Thurs 5:15 pm - 10:15 pm / Fri 4:30 pm - 9 pm / Sun 9:15 am - 2:30 pm"
62,Proxi,"Mon 5:45 pm - 1 am / Tues, Thurs 4:45 pm - 12:45 pm / Weds, Fri 9:45 am - 11:15 am / Sat 7 am - 10:45 am / Sun 6:15 am - 1:15 pm"
63,The Rosebud,Mon 11:30 am - 4:30 pm / Tues 12 pm - 4:45 pm / Weds 1:30 pm - 1:30 am / Thurs 7 am - 12:15 pm / Fri 9:15 am - 5:15 pm / Sat 1 pm - 6 pm / Sun 9:45 am - 12:45 pm
64,The Signature Room,"Mon 11:30 am - 1 am / Tues - Weds, Fri 5 am - 11:15 am / Thurs 12:15 pm - 7 pm / Sat 5:15 am - 7 pm / Sun 3:15 pm - 12:15 pm"
65,Goosefoot,"Mon, Thurs 9:30 am - 3 pm / Tues 2 pm - 8:30 pm / Weds, Fri 4:30 pm - 5:30 pm / Sat 4:15 pm - 9:15 pm / Sun 5 pm - 10:15 pm"
66,Catch 35,Mon - Tues 4:30 pm - 11:15 pm / Weds - Thurs 10:15 am - 5 pm / Fri 5:15 am - 8:30 pm / Sat - Sun 10 am - 2:30 am
67,Gemini,"Mon - Tues, Thurs 5 am - 3:45 am / Weds, Sat 11 am - 2:45 am / Fri 1:45 pm - 12:45 pm / Sun 1:45 pm - 8:45 pm"
68,Blue Plate,Sun - Mon 4:15 pm - 9:30 pm / Tues 10:30 am - 11:45 am / Weds - Thurs 10:15 am - 12 pm / Fri 10:15 am - 9:45 pm / Sat 5 pm - 6 pm
69,Bones,"Mon 1:30 pm - 11:30 pm / Tues 11:15 am - 10:45 pm / Weds, Fri 6:15 am - 12:30 pm / Thurs, Sat 3 pm - 6 pm / Sun 11:30 am - 1:15 pm"
70,Burger & Beer Joint,Mon - Tues 3 pm - 2 am / Weds - Thurs 2 pm - 11:15 pm / Fri - Sat 5:15 am - 7 am / Sun 7:45 am - 9:30 pm
71,Catch of the Day,Mon 10 am - 12:15 pm / Tues 3:15 pm - 4:15 pm / Weds 7:45 am - 2 pm / Thurs - Fri 4:30 pm - 2 am / Sat 8:15 am - 1:30 am / Sun 12:15 pm - 10:15 pm
72,CRUST,"Mon - Tues 10:45 am - 11 am / Weds, Sat - Sun 5:30 pm - 11:15 pm / Thurs 12:15 pm - 1:45 am / Fri 11:30 am - 11 pm"
73,Daily Grill,"Mon - Tues, Thurs 7:45 am - 12:45 pm / Weds 10:30 am - 12 pm / Fri 9:15 am - 5:15 pm / Sat 8 am - 11:30 am / Sun 3 pm - 12:30 pm"
74,Full Moon,"Mon, Thurs 1 pm - 6:15 pm / Tues 10:30 am - 1:15 pm / Weds 6:45 am - 7:45 am / Fri - Sat 1:15 pm - 4:30 pm / Sun 1:15 pm - 8:30 pm"
75,Garage Kitchen + Bar,"Mon, Weds 4:30 pm - 10:30 pm / Tues, Sun 7:15 am - 1 pm / Thurs 4:45 pm - 8:30 pm / Fri 5:45 pm - 1 am / Sat 2:45 pm - 1 am"
76,Grubstake,"Mon, Fri 11:45 am - 11:15 pm / Tues 2:30 pm - 12:15 pm / Weds 4:30 pm - 12:45 pm / Thurs, Sat 5:15 am - 2:45 am / Sun 8:45 am - 6 pm"
77,Harvest Beat,"Mon 12:30 pm - 2 pm / Tues 5:30 pm - 2 am / Weds, Sun 9:45 am - 3:30 pm / Thurs 7:15 am - 3 am / Fri 11:15 am - 2:15 pm / Sat 1:30 pm - 8:45 pm"
78,Hot & Crusty,Mon 10 am - 9:45 pm / Tues 11:30 am - 12:30 pm / Weds 4 pm - 8:45 pm / Thurs 1:15 pm - 2:15 pm / Fri 10:30 am - 3:45 pm / Sat 11:30 am - 1:45 pm / Sun 7:15 am - 3 pm
79,King and Queen,Mon - Tues 11:30 am - 4 pm / Weds 11 am - 2 am / Thurs 11:45 am - 3 pm / Fri 2:15 pm - 2:15 am / Sat 5:45 pm - 8:30 pm / Sun 9:15 am - 9:30 pm
80,Lazy Bear,"Mon 10 am - 11 am / Tues - Weds, Fri 1:15 pm - 2:45 pm / Thurs 12:45 pm - 5:15 pm / Sat 9 am - 2:30 pm / Sun 5:30 pm - 3 am"
81,Mad for Chicken,"Mon - Tues, Thurs 3:30 pm - 7 pm / Weds, Sat - Sun 3:45 pm - 3:15 am / Fri 3 pm - 12 pm"
82,Nightbird,"Mon, Weds 4 pm - 3 am / Tues, Sun 3:15 pm - 12:45 pm / Thurs 8:45 am - 9 am / Fri 9:30 am - 2:15 am / Sat 5:15 pm - 2:30 am"
83,Outlier,"Mon 6:30 am - 3:15 am / Tues, Thurs 9:30 am - 11 am / Weds, Fri - Sat 5:30 am - 11:45 pm / Sun 9:30 am - 7:30 pm"
84,Rusty Pelican,Mon 10:15 am - 7:30 pm / Tues 2:15 pm - 10 pm / Weds 11:45 am - 1:15 pm / Thurs 9 am - 12:30 pm / Fri - Sat 5 am - 12:15 pm / Sun 6:15 am - 2:30 am
85,Sea Spice,"Mon, Weds, Fri 5:45 pm - 1:45 am / Tues 7:15 am - 1:15 pm / Thurs 11 am - 1:15 am / Sat 2:30 pm - 3 pm / Sun 1:15 pm - 10 pm"
86,Stateside,"Sun - Mon, Weds 5:15 am - 7:15 am / Tues 5 am - 8:45 am / Thurs 2:45 pm - 11 pm / Fri 9 am - 7:15 pm / Sat 8:45 am - 11 pm"
87,The Capital Grille,"Mon - Tues 7:45 am - 11:15 am / Weds, Sat - Sun 2:15 pm - 9:15 pm / Thurs 7:15 am - 2:15 pm / Fri 8:45 am - 1:30 am"
88,The Deck,"Mon, Thurs 10:15 am - 7:45 pm / Tues, Sun 3:15 pm - 10:30 pm / Weds, Fri 1:45 pm - 4:45 pm / Sat 10:15 am - 12:15 pm"
89,The Local Eatery,"Mon, Weds - Thurs 7 am - 3:45 pm / Tues 10:15 am - 2 pm / Fri, Sun 4 pm - 2 am / Sat 5:15 pm - 12:15 pm"
90,The Red Door,"Sun - Weds, Fri 8:15 am - 10:30 am / Thurs 3:15 pm - 12:15 pm / Sat 3:15 pm - 7 pm"
91,Tower 23 Hotel,Mon - Weds 5:45 pm - 11:30 pm / Thurs 3:45 pm - 6:45 pm / Fri 8 am - 4:15 pm / Sat 7:30 am - 10 am / Sun 4:15 pm - 1:30 am
92,Waterbar Restaurant,"Mon, Sat 1:15 pm - 9:45 pm / Tues 4 pm - 6:30 pm / Weds - Thurs 12:30 pm - 10:15 pm / Fri 4 pm - 2:15 am / Sun 11:30 am - 8:15 pm"
93,Wise Sons,"Mon, Thurs, Sat 2:45 pm - 10:45 pm / Tues 10:45 am - 11:45 pm / Weds 9:15 am - 1:45 pm / Fri 6:45 am - 9:45 pm / Sun 12:45 pm - 10 pm"
94,5 Spot,"Mon - Tues 2:30 pm - 3:15 am / Weds 2 pm - 3 am / Thurs, Sun 7:30 am - 12:15 pm / Fri 2 pm - 2:45 am / Sat 5:15 am - 3:45 am"
95,A Salt & Battery,"Mon 1:45 pm - 7:30 pm / Tues, Thurs 11:45 am - 1:30 pm / Weds 4 pm - 9 pm / Fri 4:30 pm - 9 pm / Sat 5:15 am - 8 am / Sun 3 pm - 7:45 pm"
96,Brewed Awakening,"Mon, Thurs 5:30 am - 5:15 pm / Tues 1:30 pm - 9:45 pm / Weds, Sun 5:15 pm - 10:30 pm / Fri 5 pm - 2:15 am / Sat 9:15 am - 1:15 am"
97,Chart House,"Mon, Fri 12:45 pm - 3 pm / Tues - Weds 5:45 pm - 6 pm / Thurs 12:30 pm - 1 am / Sat 12:30 pm - 3:30 am / Sun 12:45 pm - 7:45 pm"
98,Crest Cafe,"Mon 5:15 pm - 6 pm / Tues - Weds 12:15 pm - 8:30 pm / Thurs - Fri, Sun 5:45 pm - 9:30 pm / Sat 4:45 pm - 6:30 pm"
99,Double Decker,"Mon, Thurs, Sat 7:15 am - 8:15 pm / Tues 2:45 pm - 5:45 pm / Weds 12:15 pm - 2:15 pm / Fri 5 am - 10 am / Sun 10:30 am - 12 pm"
100,EPIC Steak,Mon 6 am - 10:45 pm / Tues - Thurs 10:15 am - 2:30 pm / Fri 7 am - 10 pm / Sat 11:45 am - 2:15 am / Sun 5:30 pm - 6 pm
101,Foxsister,"Mon 5 pm - 12 pm / Tues - Weds, Sat 3:30 pm - 8:30 pm / Thurs 5:45 pm - 1:15 am / Fri 6:30 am - 8:30 pm / Sun 10:45 am - 2 pm"
102,Golden Era,"Mon, Sat 7:15 am - 7:30 pm / Tues 1:30 pm - 4:15 pm / Weds 11:45 am - 8:15 pm / Thurs 7:15 am - 2:45 pm / Fri, Sun 9:45 am - 1:15 am"
103,Halls Chophouse,"Mon 6:30 am - 11:15 am / Tues, Thurs 7:15 am - 3:15 pm / Weds, Sat 1:15 pm - 7:45 pm / Fri 5:45 pm - 7 pm / Sun 12:15 pm - 11:45 pm"
104,Heirloom Cafe,"Mon - Tues, Thurs 9:15 am - 10:15 pm / Weds 12 pm - 2:15 pm / Fri 3:15 pm - 5:15 pm / Sat 12:30 pm - 12 pm / Sun 2:15 pm - 5:30 pm"
105,Lattetude,"Mon, Sat 3:45 pm - 10:15 pm / Tues - Weds, Fri 1:30 pm - 12:45 pm / Thurs 5 am - 4 pm / Sun 12 pm - 4:45 pm"
106,Level III Restaurant,"Sun - Tues, Thurs 9:30 am - 10:45 am / Weds 5:15 am - 4 pm / Fri 1:45 pm - 5 pm / Sat 6:30 am - 4:15 pm"
107,Mama’s Fish House,Mon 7:15 am - 9:30 am / Tues 2:15 pm - 11 pm / Weds 5:30 am - 6:45 am / Thurs 2:30 pm - 7:45 pm / Fri 6:45 am - 10 am / Sat 7:15 am - 11 pm / Sun 4:15 pm - 10:45 pm
108,Nin Com Soup,"Mon, Weds 1:30 pm - 10 pm / Tues 6:30 am - 2:30 am / Thurs 9:30 am - 9:15 pm / Fri 1:15 pm - 8:15 pm / Sat 6:15 am - 3 pm / Sun 5 pm - 7:15 pm"
109,Ozone,"Sun - Mon, Thurs 2 pm - 3:30 am / Tues 2 pm - 6:30 pm / Weds 5 am - 3 pm / Fri 10:30 am - 9 pm / Sat 3 pm - 11:30 pm"
110,Rooftoop at E11EVEN,"Mon 5:15 am - 4:30 pm / Tues, Sun 12 pm - 6 pm / Weds 1 pm - 3:15 pm / Thurs 7:30 am - 11:45 pm / Fri 10 am - 10:30 pm / Sat 7:15 am - 3:45 pm"
111,Skillet Counter,"Mon 9:15 am - 2:15 pm / Tues, Thurs 5:30 pm - 9 pm / Weds 2 pm - 1:30 am / Fri 4:15 pm - 1:45 am / Sat - Sun 9:30 am - 8:15 pm"
112,Stoneburner,"Mon 12:30 pm - 10:15 pm / Tues - Weds, Fri, Sun 11 am - 3:15 pm / Thurs, Sat 6:45 am - 7:30 am"
113,Street Taco,"Mon 5:45 am - 1:30 am / Tues 5:45 am - 11 am / Weds, Fri 9 am - 3:30 pm / Thurs, Sun 5 pm - 6:45 pm / Sat 7 am - 3:45 pm"
114,The Egg & Us,"Mon 9:30 am - 3:15 pm / Tues 1:45 pm - 5:15 pm / Weds - Thurs, Sun 2 pm - 8 pm / Fri 9:30 am - 11:15 pm / Sat 3:45 pm - 7:15 pm"
115,The Incredible Cafe,Mon 6:45 am - 2 pm / Tues 8:30 am - 3:15 am / Weds 3:30 pm - 2 am / Thurs 7:45 am - 8:15 am / Fri 7:15 am - 2:15 pm / Sat 1:45 pm - 2:45 am / Sun 1:15 pm - 9:45 pm
116,The River Seafood,"Mon, Thurs 8:15 am - 10:15 am / Tues, Sat - Sun 1:15 pm - 2:45 am / Weds 9:30 am - 12:45 pm / Fri 10:45 am - 3:30 am"
117,Townsend,"Mon, Fri 6:45 am - 3 am / Tues 6:15 am - 3:45 pm / Weds 5 am - 2 am / Thurs 3:45 pm - 2 am / Sat 4 pm - 12:30 pm / Sun 11 am - 12:45 pm"
118,Upland,"Mon, Thurs 3:30 pm - 1 am / Tues, Sat - Sun 6:30 am - 6:45 pm / Weds 9 am - 2:30 pm / Fri 6:15 am - 10:15 am"
119,Urban Remedy,Mon 12:15 pm - 11:45 pm / Tues 11:45 am - 12 pm / Weds - Thurs 9:45 am - 1:15 pm / Fri 6:30 am - 11 pm / Sat 4 pm - 6:45 pm / Sun 11 am - 3:45 pm
120,Zero Restaurant,Mon - Tues 1:45 pm - 5 pm / Weds 9:15 am - 8:30 pm / Thurs - Fri 11:30 am - 9:45 pm / Sat 9:15 am - 5:45 pm / Sun 5:45 am - 7:45 am
121,750 Restaurant,Mon 10 am - 7:45 pm / Tues - Weds 3:45 pm - 5 pm / Thurs 1:15 pm - 7:45 pm / Fri 5:15 am - 4:45 pm / Sat 12:15 pm - 9:15 pm / Sun 1:15 pm - 8 pm
122,Bean Around the World Coffees,"Mon, Weds 6 am - 11:15 am / Tues 5 pm - 8:45 pm / Thurs, Sat 8 am - 8 pm / Fri 3:15 pm - 1:45 am / Sun 10:30 am - 12:15 pm"
123,Blackbrick,"Mon 5:15 am - 9:15 pm / Tues, Thurs, Sat 5:45 am - 6:15 am / Weds 4:30 pm - 10:30 pm / Fri, Sun 12:30 pm - 2:45 pm"
124,Cafe Coyote,Mon 6:15 am - 1 pm / Tues 12 pm - 5 pm / Weds 7:15 am - 1:15 pm / Thurs 7:15 am - 8:45 am / Fri 11:30 am - 11:15 pm / Sat 12:45 pm - 8:15 pm / Sun 2:45 pm - 3 am
125,Chewy Balls,Mon 5 pm - 12:15 pm / Tues - Weds 11 am - 9:30 pm / Thurs - Fri 5:45 am - 10:45 am / Sat 3 pm - 9:15 pm / Sun 10:30 am - 2:30 pm
126,Crab Hut,"Mon 5:30 pm - 6:30 pm / Tues - Weds, Fri - Sat 11:15 am - 9:15 pm / Thurs 10:15 am - 10:15 pm / Sun 6 am - 3:45 pm"
127,Double Knot,"Mon, Fri 5:15 am - 6:30 am / Tues 11:30 am - 1 pm / Weds 2:45 pm - 11:15 pm / Thurs, Sun 1:30 pm - 6:30 pm / Sat 5:15 am - 4:45 pm"
128,Famous Lunch,"Mon - Tues, Sat 3:30 pm - 7:45 pm / Weds 5:15 pm - 12:30 pm / Thurs 2 pm - 3:30 pm / Fri 5:45 am - 10:15 pm / Sun 12:15 pm - 10:15 pm"
129,Fog Harbor Fish House,"Mon 10:15 am - 3:45 am / Tues 5:45 pm - 11:15 pm / Weds 5:30 am - 10:15 am / Thurs 11:30 am - 3:30 am / Fri, Sun 9:30 am - 4 pm / Sat 12:15 pm - 3:30 am"
130,Gaslamp Fish House,Mon 3:45 pm - 3:15 am / Tues 8:15 am - 7:30 pm / Weds - Thurs 5:30 pm - 7 pm / Fri 1:30 pm - 11:15 pm / Sat 11:45 am - 6:30 pm / Sun 5:15 pm - 7:30 pm
131,Hereford Grill,"Mon - Tues, Thurs 10:15 am - 9 pm / Weds 12 pm - 2:15 pm / Fri, Sun 9 am - 6:15 pm / Sat 12:45 pm - 1 am"
132,Hungry’s Kitchen & Tap,"Mon, Thurs - Fri 5:15 pm - 12 pm / Tues 5:15 am - 5:45 pm / Weds 12:30 pm - 3:30 pm / Sat 1 pm - 11:45 pm / Sun 7:45 am - 4:45 pm"
133,King Lee’s,"Mon, Fri 5:45 am - 4:15 pm / Tues, Sat 10 am - 11:15 pm / Weds 6 am - 8:45 am / Thurs 7 am - 5 pm / Sun 5:30 pm - 6:30 pm"
134,Like No Udder,"Mon, Weds 3:30 pm - 6:45 pm / Tues 10:30 am - 3:45 pm / Thurs - Fri 1:30 pm - 4:45 pm / Sat 2:45 pm - 3 pm / Sun 5:30 am - 2 pm"
135,Marina Kitchen,"Mon - Tues, Thurs 7:45 am - 3:45 pm / Weds, Sun 5:30 pm - 3:30 am / Fri 5 pm - 1:30 am / Sat 6:30 am - 2:30 pm"
136,Munch Box,"Mon, Weds 8:30 am - 11 pm / Tues, Thurs 3 pm - 10:30 pm / Fri 9:30 am - 4:45 pm / Sat 3:30 pm - 9:30 pm / Sun 8:45 am - 10:15 pm"
137,My Dung,Mon 3:15 pm - 3:45 am / Tues 2 pm - 3:45 pm / Weds 12 pm - 7 pm / Thurs 10:15 am - 7:45 pm / Fri 2 pm - 7:45 pm / Sat 3:15 pm - 12:45 pm / Sun 4:45 pm - 11:45 pm
138,North Beach Restaurant,"Mon, Fri 9:30 am - 12:15 pm / Tues, Sun 5:30 am - 5:30 pm / Weds 1 pm - 9:30 pm / Thurs 2:15 pm - 10:30 pm / Sat 8:30 am - 6:45 pm"
139,Opera Cafe,"Mon 6 am - 4:45 pm / Tues, Sat 9:30 am - 7:45 pm / Weds 7:15 am - 12:15 pm / Thurs, Sun 7:30 am - 8:45 am / Fri 11:15 am - 9:15 pm"
140,Queenstown Public House,"Mon, Weds 2:15 pm - 3:15 am / Tues 8:30 am - 7:30 pm / Thurs 5:15 am - 7:30 am / Fri 9:15 am - 2 am / Sat - Sun 11:15 am - 6:45 pm"
141,Rocco’s Cafe,"Mon, Sat 5:15 pm - 2:30 am / Tues 10:45 am - 3 am / Weds - Thurs 8:45 am - 10 pm / Fri 9:45 am - 11:45 pm / Sun 5:30 pm - 7:45 pm"
142,Six Seven Restaurant,"Mon - Tues 12:45 pm - 12:15 pm / Weds, Sat 11:30 am - 7:45 pm / Thurs, Sun 1 pm - 11:30 pm / Fri 8:30 am - 12:15 pm"
143,Stomach Clinic Railways Restaurant,"Mon 3:15 pm - 10:30 pm / Tues, Fri 9 am - 1 pm / Weds 3 pm - 11:45 pm / Thurs 8 am - 11:30 am / Sat 4 pm - 7:15 pm / Sun 3:15 pm - 12:30 pm"
144,The Fishery,"Mon - Tues 12:45 pm - 1 pm / Weds 4:45 pm - 5:30 pm / Thurs, Sat 4 pm - 5:15 pm / Fri 2:15 pm - 6:30 pm / Sun 2:15 pm - 12:15 pm"
145,The Local House,Mon - Tues 10:15 am - 1 pm / Weds 6:15 am - 7:30 pm / Thurs 12:45 pm - 10 pm / Fri - Sat 9:15 am - 1:15 am / Sun 7 am - 4:15 pm
146,The Table at Season To Taste,Mon 8 am - 11:45 pm / Tues 7:45 am - 7:45 pm / Weds 10 am - 12 pm / Thurs 5:15 am - 5:45 pm / Fri 5:45 pm - 2:45 am / Sat 12:30 pm - 6:15 pm / Sun 11 am - 5:45 pm
147,True Food Kitchen,"Mon - Tues, Sat 11:15 am - 1:15 am / Weds 5:15 pm - 1:30 am / Thurs, Sun 2:15 pm - 4:45 pm / Fri 5:30 pm - 2 am"
148,Zero Zero,"Mon - Tues 5:45 pm - 8:45 pm / Weds, Sat 9 am - 11 am / Thurs 8:45 am - 11:15 am / Fri 3:45 pm - 8:45 pm / Sun 11:30 am - 1:15 am"
149,Award Wieners,"Mon 1:45 pm - 11 pm / Tues, Sat - Sun 6:45 am - 9:30 am / Weds 9:15 am - 4:30 pm / Thurs 12 pm - 2:15 pm / Fri 8 am - 11:30 pm"
150,Beaver Choice,Mon - Weds 5:15 pm - 8 pm / Thurs 6:45 am - 10 am / Fri 10 am - 8 pm / Sat 1:30 pm - 4:45 pm / Sun 6:30 am - 8:30 pm
151,Blue Collar,Mon - Weds 4 pm - 7:15 pm / Thurs 12:45 pm - 2:30 am / Fri - Sat 11:15 am - 7 pm / Sun 1:45 pm - 1:30 am
152,Butty Boys,Mon - Tues 4 pm - 11:45 pm / Weds 12 pm - 5:30 pm / Thurs 5 pm - 11 pm / Fri 2:15 pm - 8:15 pm / Sat 3:45 pm - 12:30 pm / Sun 11:45 am - 1:45 pm
153,California Pizza Kitchen,"Sun - Mon 12 pm - 1:45 pm / Tues 5:30 am - 11:15 am / Weds, Sat 12:30 pm - 5:15 pm / Thurs 5:45 am - 9:30 pm / Fri 4:45 pm - 3 am"
154,Chez Billy Sud,Mon 5 pm - 11 pm / Tues - Thurs 5:15 pm - 12 pm / Fri - Sat 1:15 pm - 4 pm / Sun 7:15 am - 3:45 pm
155,Conch it Up Soul Food,"Mon 4:45 pm - 10:15 pm / Tues 4:30 pm - 3:15 am / Weds, Sat 4:15 pm - 12:30 pm / Thurs - Fri 12:30 pm - 11:15 pm / Sun 5:45 pm - 11:15 pm"
156,Filled of Dreams,Mon 1:30 pm - 12:30 pm / Tues - Weds 2:15 pm - 5:30 pm / Thurs - Fri 5:30 pm - 8 pm / Sat 11:45 am - 7:45 pm / Sun 4:30 pm - 2:15 am
157,Fishing With Dynamite,"Mon - Tues 6:30 am - 7:15 am / Weds, Fri 6:45 am - 7:30 am / Thurs 8:45 am - 1 am / Sat 9:45 am - 5 pm / Sun 4:45 pm - 5 pm"
158,Golden Greek,Mon - Tues 4:30 pm - 8 pm / Weds 8 am - 10:30 pm / Thurs 1:30 pm - 2:15 am / Fri 4 pm - 12:30 pm / Sat 12:45 pm - 12 pm / Sun 11:15 am - 3:15 pm
159,Heritage Restaurant & Caviar Bar,"Sun - Mon, Fri 5:45 am - 10:45 pm / Tues - Weds 7 am - 12:30 pm / Thurs 12 pm - 5:30 pm / Sat 4 pm - 11 pm"
